[00:00:00.000 --> 00:00:06.660]  Hi Lam.
[00:25:03.740 --> 00:25:07.740]  wir haben zum 25-30 Minuten,
[00:25:07.740 --> 00:25:11.740]  dann Milch, Milch muss vorbereiten.
[00:25:11.740 --> 00:25:12.740]  Ja.
[00:25:12.740 --> 00:25:20.740]  Und dann sind die, die muss man von der Indie von dem an,
[00:25:20.740 --> 00:25:24.740]  und die, und dann, und dann, und dann,
[00:25:24.740 --> 00:25:28.740]  wir puzzen, wir puzzen,
[00:25:28.740 --> 00:25:32.740]  oder was, oder so.
[00:25:32.740 --> 00:25:37.740]  Und dann, und die, aber nicht,
[00:25:37.740 --> 00:25:39.740]  nicht, nicht, nicht, nicht,
[00:25:39.740 --> 00:25:41.740]  nur der alles okay.
[00:25:41.740 --> 00:25:47.740]  Und er schreien so stark wie möglich.
[00:25:47.740 --> 00:25:52.740]  Aber wir, wir haben keine Zeit und dann muss,
[00:25:52.740 --> 00:25:55.740]  dann muss, muss, muss, so sein, gegen,
[00:25:55.740 --> 00:25:59.740]  die, die, die Tasche...
[00:25:59.740 --> 00:26:01.740]  Ja.
[00:26:01.740 --> 00:26:03.740]  Ja, aber das passiert nichts.
[00:26:03.740 --> 00:26:04.740]  Da musst du packen.
[00:26:04.740 --> 00:26:06.740]  Ja, oder ist du, ist du, oder?
[00:26:06.740 --> 00:26:09.740]  Ja, wenn ich es nicht finde,
[00:26:09.740 --> 00:26:11.740]  nein, man, gelben oder nein,
[00:26:11.740 --> 00:26:14.740]  dann alles okay, alles okay,
[00:26:14.740 --> 00:26:16.740]  und dann lächelt alles okay.
[00:26:16.740 --> 00:26:24.740]  Dann, ja, ja, ja,
[00:26:24.740 --> 00:26:26.740]  ja, ich habe gesagt,
[00:26:26.740 --> 00:26:32.740]  Marc, du liegt in Sterne.
[00:26:32.740 --> 00:26:35.740]  Das ist bad, das ist nicht sterne.
[00:26:35.740 --> 00:26:38.740]  Aber auf das Sterne.
[00:26:38.740 --> 00:26:40.740]  Das ist bad.
[00:26:40.740 --> 00:26:42.740]  Aber ich habe so stark.
[00:26:42.740 --> 00:26:47.740]  Ja, ich habe schnell einen Schlipp rein.
[00:26:47.740 --> 00:26:48.740]  Aber...
[00:26:48.740 --> 00:26:51.740]  Dann weiß man nicht mehr, mal schwitzt.
[00:26:51.740 --> 00:26:54.740]  Wir haben so viele Spielzeuge,
[00:26:54.740 --> 00:26:56.740]  wenn er liegt.
[00:26:56.740 --> 00:27:01.740]  Ich gebe Spielzeuge, Marc, ich biete.
[00:27:01.740 --> 00:27:04.740]  Wir haben noch 10 Futter und dann
[00:27:04.740 --> 00:27:06.740]  dann muss...
[00:27:06.740 --> 00:27:09.740]  Aber vielleicht zu viele Kettninnen,
[00:27:09.740 --> 00:27:12.740]  als weniger Kettninnen machen.
[00:27:12.740 --> 00:27:16.740]  Ja, wir gestern
[00:27:16.740 --> 00:27:21.740]  hatten wir einen Konsolat,
[00:27:21.740 --> 00:27:25.740]  was pass dir,
[00:27:25.740 --> 00:27:27.740]  bodenpass,
[00:27:27.740 --> 00:27:33.740]  dann früher er war illegal.
[00:27:33.740 --> 00:27:38.740]  Dann noch fiel ich schon in die Scheibe.
[00:27:38.740 --> 00:27:40.740]  Dann...
[00:27:40.740 --> 00:27:44.740]  Wir werden passen.
[00:27:44.740 --> 00:27:45.740]  Super.
[00:27:45.740 --> 00:27:46.740]  Ich bin...
[00:27:46.740 --> 00:27:48.740]  Ja, ich bin billig, das ist...
[00:27:48.740 --> 00:27:52.740]  Das ist...
[00:27:52.740 --> 00:27:57.740]  Wollen Sie wegfliegen?
[00:27:57.740 --> 00:28:00.740]  Wollen Sie wollen fliegen?
[00:28:00.740 --> 00:28:03.740]  Ja, das ist schön.
[00:28:03.740 --> 00:28:05.740]  Einmal.
[00:28:05.740 --> 00:28:06.740]  Einmal.
[00:28:06.740 --> 00:28:07.740]  Ja, das ist schön.
[00:28:07.740 --> 00:28:08.740]  Einmal.
[00:28:08.740 --> 00:28:09.740]  Ja.
[00:28:09.740 --> 00:28:11.740]  Das ist ein Dorst.
[00:28:11.740 --> 00:28:15.740]  In Zukunft,
[00:28:15.740 --> 00:28:18.740]  weil unsere Kinder die Rüse sind,
[00:28:18.740 --> 00:28:20.740]  Kinder.
[00:28:20.740 --> 00:28:23.740]  Rüse sind, ums Torfer zu geben.
[00:28:23.740 --> 00:28:25.740]  Wir werden für ein paar Monate
[00:28:25.740 --> 00:28:27.740]  in den Wohnmobil rausschauen.
[00:28:27.740 --> 00:28:28.740]  Ja, schön.
[00:28:28.740 --> 00:28:31.740]  Das ist so, ich fand, um ganz Europa.
[00:28:31.740 --> 00:28:33.740]  Aber das ist...
[00:28:33.740 --> 00:28:35.740]  Zuerst muss man...
[00:28:35.740 --> 00:28:37.740]  Ich muss mal schlafen.
[00:28:37.740 --> 00:28:40.740]  Ja, es war die Pässe.
[00:28:40.740 --> 00:28:44.740]  Ich suche eine Ausbildungstelle.
[00:28:44.740 --> 00:28:47.740]  Ich war in der Werbung,
[00:28:47.740 --> 00:28:51.740]  gestern war ich schon in der Werbung,
[00:28:51.740 --> 00:28:55.740]  aber ich stelle als Fachinformatiker
[00:28:55.740 --> 00:28:58.740]  und anwendungsentwickler.
[00:28:58.740 --> 00:29:01.740]  Aber das ist...
[00:29:01.740 --> 00:29:02.740]  F...
[00:29:02.740 --> 00:29:03.740]  F...
[00:29:03.740 --> 00:29:04.740]  Stess.
[00:29:04.740 --> 00:29:06.740]  Das ist nicht nicht, Stess.
[00:29:06.740 --> 00:29:08.740]  Stessfache.
[00:29:08.740 --> 00:29:09.740]  Das ist das Fache,
[00:29:09.740 --> 00:29:10.740]  das ist...
[00:29:10.740 --> 00:29:12.740]  Muss man so viele Werbung gehen.
[00:29:12.740 --> 00:29:13.740]  Wir schicken.
[00:29:13.740 --> 00:29:15.740]  Und dann suche ich.
[00:29:15.740 --> 00:29:16.740]  Und dann...
[00:29:16.740 --> 00:29:18.740]  Wo bewerten Sie sich?
[00:29:18.740 --> 00:29:20.740]  Wo?
[00:29:20.740 --> 00:29:22.740]  Wo bewermirg ich?
[00:29:22.740 --> 00:29:25.740]  Nein, ich bin Agentur für Arbeit.
[00:29:25.740 --> 00:29:27.740]  Und wie ich vermitteln...
[00:29:27.740 --> 00:29:29.740]  Ja, ja.
[00:29:29.740 --> 00:29:31.740]  Ich habe...
[00:29:31.740 --> 00:29:34.740]  Ich habe Lebenslauf gemacht
[00:29:34.740 --> 00:29:38.740]  und dann so viele Unterlagen zum Beispiel.
[00:29:38.740 --> 00:29:39.740]  Arbeits...
[00:29:39.740 --> 00:29:43.740]  Ich weiß nicht, was die Komission letter.
[00:29:43.740 --> 00:29:44.740]  Aber...
[00:29:44.740 --> 00:29:47.740]  So, ich habe zurücknes.
[00:29:47.740 --> 00:29:49.740]  Ich habe wischablesch jetzt zurücknes.
[00:29:49.740 --> 00:29:54.740]  Aber das ist egal für meine neue Arbeit.
[00:29:54.740 --> 00:30:01.740]  Ich kann meine Wischablesch ja Diplom anerkennen lassen.
[00:30:01.740 --> 00:30:04.740]  Aber das ist richtig,
[00:30:04.740 --> 00:30:06.740]  weil ich...
[00:30:06.740 --> 00:30:10.740]  Ich neuer Abwadstelle müchte.
[00:30:10.740 --> 00:30:15.740]  Ich will lernen, dann muss drei Jahre...
[00:30:16.740 --> 00:30:19.740]  Ich habe es zurückgeholen, wenn man da...
[00:30:29.740 --> 00:30:31.740]  Das ist...
[00:30:32.740 --> 00:30:34.740]  Oh Mann!
[00:30:34.740 --> 00:30:37.740]  Den hat er zehn Jahre jetzt.
[00:30:37.740 --> 00:30:40.740]  Das ist...
[00:30:42.740 --> 00:30:44.740]  Hochsyl!
[00:30:46.740 --> 00:30:48.740]  Mach!
[00:30:53.740 --> 00:30:55.740]  Sie ist gar nicht so viel.
[00:30:55.740 --> 00:30:58.740]  Nichts lachen, bitte.
[00:30:58.740 --> 00:31:00.740]  Sie mag nicht.
[00:31:01.740 --> 00:31:03.740]  Super!
[00:31:05.740 --> 00:31:07.740]  Schmack!
[00:31:07.740 --> 00:31:10.740]  Dann so viele.
[00:31:16.740 --> 00:31:20.740]  Die Perspektive.
[00:31:20.740 --> 00:31:22.740]  Oh ja, ja.
[00:31:22.740 --> 00:31:24.740]  Das ist super.
[00:31:24.740 --> 00:31:26.740]  Das ist gut.
[00:31:26.740 --> 00:31:29.740]  Wir sehen uns im neuen Jahr.
[00:31:29.740 --> 00:31:33.740]  Brauchen Sie uns die Unterlagen?
[00:31:33.740 --> 00:31:35.740]  Ja, es wird mal ein Buch, ob es eins,
[00:31:35.740 --> 00:31:38.740]  Flascht, Gen oder oben.
[00:31:38.740 --> 00:31:40.740]  Diese...
[00:31:40.740 --> 00:31:42.740]  Diese...
[00:31:42.740 --> 00:31:45.740]  Das ist eine Unterlagen.
[00:31:45.740 --> 00:31:48.740]  Das...
[00:31:48.740 --> 00:31:49.740]  Das...
[00:31:49.740 --> 00:31:52.740]  Das ist das Neues und das ist das Neues und das Neues.
[00:31:52.740 --> 00:31:55.740]  Das ist transportieren.
[00:31:55.740 --> 00:31:58.740]  Das ist nicht so wichtig.
[00:32:07.740 --> 00:32:10.740]  Das ist auch nicht so wichtig.
[00:32:11.740 --> 00:32:13.740]  Ich habe gesagt,
[00:32:13.740 --> 00:32:15.740]  dass...
[00:32:15.740 --> 00:32:17.740]  Ich habe die Dokumenten,
[00:32:17.740 --> 00:32:18.740]  aber ich weiß nicht,
[00:32:18.740 --> 00:32:19.740]  welche...
[00:32:19.740 --> 00:32:22.740]  Wahrscheinlich plötzlich ja Kindsthods hatten.
[00:32:22.740 --> 00:32:24.740]  Infent...
[00:32:24.740 --> 00:32:25.740]  Das?
[00:32:25.740 --> 00:32:26.740]  Wie bitte?
[00:32:26.740 --> 00:32:28.740]  Glötslicher Kindsthod?
[00:32:28.740 --> 00:32:29.740]  Ja.
[00:32:29.740 --> 00:32:31.740]  Ja.
[00:32:31.740 --> 00:32:33.740]  Die Polizei...
[00:32:33.740 --> 00:32:36.740]  nach zehn...
[00:32:36.740 --> 00:32:39.740]  Es ist gut, wenn man sich nicht schlussig ist.
[00:32:39.740 --> 00:32:42.740]  Ja, das演 goten hat auf die Zwischenkraft.
[00:32:42.740 --> 00:32:45.740]  Das ist aber gut.
[00:32:45.740 --> 00:32:49.740]  Wir mögen es uns ein Sanskritjipenเลย townssh CJ und solchen K muscles
[00:32:49.740 --> 00:32:52.740]  das nuances haben.
[00:32:52.740 --> 00:32:59.740]  Wieder stirbt auch unsere Healing.
[00:32:59.740 --> 00:33:03.740]  Das merkt ihrstarisch in unsere Mitgeschnittenen.
[00:33:03.740 --> 00:33:07.740]  In der Firma ist evacuate Tag激he.
[00:33:07.740 --> 00:33:09.740]  Die Zahl über mits Jup Kurz oder in den Impenelanden noch Mannck.
[00:33:09.740 --> 00:33:22.259]  Das ist Savys sempre, auch affiliated es als Gymnasium.
[00:33:22.259 --> 00:33:25.859]  Dere Turks hat mich da so gekommenhh tutorials geweisen,
[00:33:25.859 --> 00:33:29.619]  Da waren über die SultanYe чтобы denn da ...
[00:33:29.619 --> 00:33:30.879]  Also, dass er so ...
[00:33:31.359 --> 00:33:34.759]  Was ist sagte er nach dieser 我是 To poly du schon als Griss contemplacion infidge?
[00:33:34.759 --> 00:33:42.519]  Ich hab er Stitch aus L
[00:33:42.799 --> 00:33:44.200]  Woo we good!
[00:33:44.599 --> 00:33:46.680]  intaue noche etwas merken
[00:34:16.679 --> 00:34:18.679]  Und dann schicken Blut.
[00:34:18.679 --> 00:34:19.679]  Mhm.
[00:34:19.679 --> 00:34:21.679]  Ich weiß nicht, wohin...
[00:34:21.679 --> 00:34:22.679]  Was ist denn das?
[00:34:22.679 --> 00:34:23.679]  Was ist das?
[00:34:23.679 --> 00:34:24.679]  Was ist das?
[00:34:24.679 --> 00:34:25.679]  Und dann...
[00:34:25.679 --> 00:34:26.679]  Dann war es.
[00:34:26.679 --> 00:34:28.679]  Aber sie...
[00:34:28.679 --> 00:34:30.679]  Sie...
[00:34:30.679 --> 00:34:32.679]  Sie sehen...
[00:34:32.679 --> 00:34:34.679]  Aussehen...
[00:34:34.679 --> 00:34:36.679]  Sie sehen gut aus.
[00:34:36.679 --> 00:34:37.679]  Wir sehen oder?
[00:34:37.679 --> 00:34:38.679]  Mhm.
[00:34:38.679 --> 00:34:39.679]  Gut alle.
[00:34:39.679 --> 00:34:40.679]  Ich habe...
[00:34:40.679 --> 00:34:41.679]  Ja, hab schon gesehen.
[00:34:41.679 --> 00:34:42.679]  Nein.
[00:34:42.679 --> 00:34:44.679]  Das ist nur die Frage, ob...
[00:34:44.679 --> 00:34:49.679]  Was war genetisch, krank, ob wir auch nach eben gucken müssen?
[00:34:49.679 --> 00:34:50.679]  Ähm, auch die Bobo.
[00:34:50.679 --> 00:34:51.679]  Nein.
[00:34:51.679 --> 00:34:52.679]  Keine, keine...
[00:34:52.679 --> 00:34:54.679]  Nur Blöde, Blut Zumphal.
[00:34:54.679 --> 00:34:55.679]  Blut ist...
[00:34:55.679 --> 00:34:56.679]  Sie...
[00:34:56.679 --> 00:34:57.679]  Sie...
[00:34:57.679 --> 00:34:58.679]  Sie...
[00:34:58.679 --> 00:34:59.679]  Sie...
[00:34:59.679 --> 00:35:00.679]  Sie...
[00:35:00.679 --> 00:35:01.679]  Sie...
[00:35:01.679 --> 00:35:02.679]  Sie...
[00:35:02.679 --> 00:35:03.679]  Sie...
[00:35:03.679 --> 00:35:04.679]  Sie...
[00:35:04.679 --> 00:35:05.679]  Sie...
[00:35:05.679 --> 00:35:06.679]  Sie...
[00:35:06.679 --> 00:35:07.679]  Sie...
[00:35:07.679 --> 00:35:08.679]  Sie...
[00:35:08.679 --> 00:35:09.679]  Sie...
[00:35:09.679 --> 00:35:10.679]  Sie...
[00:35:10.679 --> 00:35:11.679]  Sie...
[00:35:11.679 --> 00:35:12.679]  Sie...
[00:35:12.679 --> 00:35:13.679]  Sie...
[00:35:13.679 --> 00:35:14.679]  Sie...
[00:35:14.679 --> 00:35:15.679]  Sie...
[00:35:15.679 --> 00:35:16.679]  Sie...
[00:35:16.679 --> 00:35:17.679]  Sie...
[00:35:17.679 --> 00:35:18.679]  Sie...
[00:35:18.679 --> 00:35:19.679]  Sie...
[00:35:19.679 --> 00:35:20.679]  Sie...
[00:35:20.679 --> 00:35:21.679]  Sie...
[00:35:21.679 --> 00:35:22.679]  Sie...
[00:35:22.679 --> 00:35:23.679]  Sie kann...
[00:35:23.679 --> 00:35:24.679]  Drehenschauff...
[00:35:24.679 --> 00:35:26.679]  Sie kann zum Beispiel...
[00:35:26.679 --> 00:35:27.679]  Ja, ja.
[00:35:27.679 --> 00:35:29.679]  Im Moment oder im Zürug.
[00:35:29.679 --> 00:35:30.679]  Vielleicht hat es mich...
[00:35:30.679 --> 00:35:32.679]  Im Drei.
[00:35:32.679 --> 00:35:34.679]  Wir haben...
[00:35:34.679 --> 00:35:35.679]  Meine...
[00:35:35.679 --> 00:35:37.679]  Meine...
[00:35:37.679 --> 00:35:38.679]  Ich schaffe...
[00:35:38.679 --> 00:35:39.679]  Arbeitsplatz.
[00:35:39.679 --> 00:35:40.679]  Ja.
[00:35:40.679 --> 00:35:41.679]  Meine Arbeitsplatz.
[00:35:41.679 --> 00:35:43.679]  Und separat Arbeitsplatz.
[00:35:43.679 --> 00:35:44.679]  Und dann...
[00:35:44.679 --> 00:35:45.679]  Mal draußen.
[00:35:45.679 --> 00:35:47.679]  Und dann zum Beispiel...
[00:35:47.679 --> 00:35:49.679]  Ich arbeite zum Beispiel.
[00:35:49.679 --> 00:35:51.679]  Sie hat gelegnet.
[00:35:51.679 --> 00:35:52.679]  Sie hat gelegnet.
[00:35:52.679 --> 00:35:53.679]  Und dann...
[00:35:53.679 --> 00:35:54.679]  Schu...
[00:35:54.679 --> 00:35:55.679]  Und dann...
[00:35:55.679 --> 00:35:56.679]  Mal draußen...
[00:35:56.679 --> 00:35:57.679]  Sie hier.
[00:35:57.679 --> 00:35:58.679]  Und dann...
[00:35:58.679 --> 00:36:00.679]  Aber das...
[00:36:00.679 --> 00:36:03.679]  Das ist kein Problem, dass...
[00:36:03.679 --> 00:36:04.679]  Nicht zu kommen.
[00:36:04.679 --> 00:36:05.679]  Ja, ja.
[00:36:05.679 --> 00:36:06.679]  Aber Sie...
[00:36:06.679 --> 00:36:07.679]  Sie bewerben.
[00:36:07.679 --> 00:36:08.679]  Und das ist...
[00:36:08.679 --> 00:36:10.679]  Das ist komische Situation.
[00:36:10.679 --> 00:36:13.679]  Sie...
[00:36:13.679 --> 00:36:15.679]  Superstuhl.
[00:36:15.679 --> 00:36:17.679]  Wenn Milch raus...
[00:36:17.679 --> 00:36:18.679]  rausgehen.
[00:36:18.679 --> 00:36:20.679]  Dann Sie hat...
[00:36:20.679 --> 00:36:21.679]  Sie hat Kopf, wo...
[00:36:21.679 --> 00:36:23.679]  In andere Seite.
[00:36:23.679 --> 00:36:24.679]  Aber das...
[00:36:24.679 --> 00:36:25.679]  Das passiert...
[00:36:25.679 --> 00:36:26.679]  Na.
[00:36:26.679 --> 00:36:29.679]  Sie ist nicht erstickt an der Milch...
[00:36:29.679 --> 00:36:30.679]  Ach, wo...
[00:36:30.679 --> 00:36:31.679]  Gut, weil...
[00:36:31.679 --> 00:36:32.679]  Warum?
[00:36:32.679 --> 00:36:34.679]  Es gibt manchmal kein Grund.
[00:36:34.679 --> 00:36:35.679]  Wenn...
[00:36:35.679 --> 00:36:37.679]  Man sich hinter sterben, ohne Grund...
[00:36:37.679 --> 00:36:40.679]  Sie hat...
[00:36:40.679 --> 00:36:42.679]  Sie sieht...
[00:36:42.679 --> 00:36:43.679]  Sie...
[00:36:43.679 --> 00:36:45.679]  Sie aussehen.
[00:36:45.679 --> 00:36:46.679]  Ja, nun...
[00:36:46.679 --> 00:36:50.679]  Sie sehen total gesund.
[00:36:50.679 --> 00:36:52.679]  Total gesund aktiv.
[00:36:52.679 --> 00:36:53.679]  Ja.
[00:36:53.679 --> 00:36:54.679]  Aktiv...
[00:36:54.679 --> 00:36:56.679]  Immer...
[00:36:56.679 --> 00:36:57.679]  Lecher...
[00:36:57.679 --> 00:36:58.679]  Alles ist...
[00:36:58.679 --> 00:37:01.679]  Manche Kinder sterben sogar im Bauch.
[00:37:01.679 --> 00:37:03.679]  Kurz vor der Empfehlung.
[00:37:03.679 --> 00:37:04.679]  Warum?
[00:37:04.679 --> 00:37:05.679]  Manche zu Hause.
[00:37:05.679 --> 00:37:06.679]  Ohne Grund.
[00:37:06.679 --> 00:37:07.679]  Warum?
[00:37:07.679 --> 00:37:08.679]  Keine, was?
[00:37:08.679 --> 00:37:09.679]  Okay, aber warum?
[00:37:09.679 --> 00:37:10.679]  Keine, keine Luft.
[00:37:10.679 --> 00:37:11.679]  Wir wissen es nicht.
[00:37:11.679 --> 00:37:13.679]  Keine hat Schuld.
[00:37:13.679 --> 00:37:15.679]  Keine hat Schuld.
[00:37:15.679 --> 00:37:17.679]  Es ist nur ein Scheiße.
[00:37:17.679 --> 00:37:18.679]  Zum Beispiel.
[00:37:18.679 --> 00:37:19.679]  Und...
[00:37:19.679 --> 00:37:20.679]  Lecher...
[00:37:20.679 --> 00:37:22.679]  Hat immer mit...
[00:37:22.679 --> 00:37:23.679]  Mit Anastasi.
[00:37:23.679 --> 00:37:24.679]  Immer.
[00:37:24.679 --> 00:37:25.679]  Immer.
[00:37:25.679 --> 00:37:26.679]  Aber...
[00:37:26.679 --> 00:37:27.679]  Im...
[00:37:27.679 --> 00:37:28.679]  Im...
[00:37:28.679 --> 00:37:29.679]  Im Moment, im diesem Moment.
[00:37:29.679 --> 00:37:30.679]  Lecher...
[00:37:30.679 --> 00:37:32.679]  Wollte...
[00:37:32.679 --> 00:37:33.679]  Das...
[00:37:33.679 --> 00:37:34.679]  Das...
[00:37:34.679 --> 00:37:35.679]  Sie...
[00:37:35.679 --> 00:37:36.679]  Sie schle...
[00:37:36.679 --> 00:37:37.679]  Ja.
[00:37:37.679 --> 00:37:38.679]  Gut.
[00:37:38.679 --> 00:37:39.679]  Aber...
[00:37:39.679 --> 00:37:41.679]  Wir schrien immer Aktiv und...
[00:37:41.679 --> 00:37:43.679]  Anastasi auch stehen.
[00:37:43.679 --> 00:37:44.679]  Ja.
[00:37:44.679 --> 00:37:45.679]  Und dann...
[00:37:45.679 --> 00:37:46.679]  Im...
[00:37:46.679 --> 00:37:47.679]  Im Moment...
[00:37:47.679 --> 00:37:51.679]  Er war mit Diana.
[00:37:51.679 --> 00:37:52.679]  Ja.
[00:37:52.679 --> 00:37:53.679]  Sie hat...
[00:37:53.679 --> 00:37:55.679]  Es war ein Nesterboy.
[00:37:55.679 --> 00:37:59.679]  Ich habe gesagt...
[00:37:59.679 --> 00:38:01.679]  Du...
[00:38:01.679 --> 00:38:02.679]  Du...
[00:38:02.679 --> 00:38:03.679]  Du...
[00:38:03.679 --> 00:38:04.679]  Lübe nicht.
[00:38:04.679 --> 00:38:05.679]  Anastasi, weil...
[00:38:05.679 --> 00:38:06.679]  Du...
[00:38:06.679 --> 00:38:08.679]  Du bist immer mit...
[00:38:08.679 --> 00:38:09.679]  Mit...
[00:38:09.679 --> 00:38:10.679]  Ja.
[00:38:10.679 --> 00:38:13.679]  Ich war immer mit Anastasi.
[00:38:13.679 --> 00:38:14.679]  Ja.
[00:38:14.679 --> 00:38:16.679]  Diana war immer mit...
[00:38:16.679 --> 00:38:17.679]  Und...
[00:38:17.679 --> 00:38:18.679]  Und...
[00:38:18.679 --> 00:38:19.679]  Und mit der...
[00:38:19.679 --> 00:38:20.679]  Ja.
[00:38:20.679 --> 00:38:22.679]  Aber im diesem Moment...
[00:38:22.679 --> 00:38:24.679]  Und dann...
[00:38:24.679 --> 00:38:25.679]  Und dann...
[00:38:25.679 --> 00:38:26.679]  Verrückt.
[00:38:26.679 --> 00:38:27.679]  Warum?
[00:38:27.679 --> 00:38:28.679]  Warum?
[00:38:28.679 --> 00:38:29.679]  Ich...
[00:38:29.679 --> 00:38:31.679]  Ich war in die Schule.
[00:38:31.679 --> 00:38:34.679]  Ich habe bei eins...
[00:38:34.679 --> 00:38:37.679]  Bei eins bestanden.
[00:38:37.679 --> 00:38:38.679]  Und...
[00:38:38.679 --> 00:38:40.679]  Warte aufgeräten.
[00:38:40.679 --> 00:38:41.679]  Ja.
[00:38:41.679 --> 00:38:42.679]  Und dann...
[00:38:42.679 --> 00:38:48.679]  Ich habe noch eine Woche für Prüfung Leben in Deutschland.
[00:38:48.679 --> 00:38:50.679]  Und dann...
[00:38:50.679 --> 00:38:52.679]  Ich bin...
[00:38:52.679 --> 00:38:56.679]  Auch die Schule...
[00:38:56.679 --> 00:38:58.679]  Gefahren...
[00:38:58.679 --> 00:39:04.679]  Ich habe schon eine Woche für die Schule.
[00:39:04.679 --> 00:39:07.679]  Und dann...
[00:39:12.679 --> 00:39:14.679]  Wir wissen nicht...
[00:39:14.679 --> 00:39:15.679]  War um.
[00:39:15.679 --> 00:39:16.679]  War es...
[00:39:16.679 --> 00:39:17.679]  War es...
[00:39:17.679 --> 00:39:18.679]  War es passiert?
[00:39:18.679 --> 00:39:19.679]  War um.
[00:39:19.679 --> 00:39:21.679]  Und total gesungen...
[00:39:21.679 --> 00:39:23.679]  Total gesungen, Kinder.
[00:39:23.679 --> 00:39:25.679]  Und...
[00:39:25.679 --> 00:39:27.679]  Sie trinken mir so normal.
[00:39:27.679 --> 00:39:29.679]  Sie schlafen.
[00:39:29.679 --> 00:39:31.679]  Ich will wissen, es gibt...
[00:39:31.679 --> 00:39:32.679]  Zum Beispiel.
[00:39:32.679 --> 00:39:33.679]  Was kann man sagen?
[00:39:33.679 --> 00:39:34.679]  Maurem.
[00:39:34.679 --> 00:39:35.679]  Ja.
[00:39:35.679 --> 00:39:37.679]  Du schl�st, wenn du da wo bist?
[00:39:37.679 --> 00:39:38.679]  Ein Beispiel.
[00:39:38.679 --> 00:39:40.679]  Sie...
[00:39:40.679 --> 00:39:44.679]  Ich weiß nicht, schlafen.
[00:39:44.679 --> 00:39:48.679]  Von bis sie einschlafen oder einschlafen.
[00:39:48.679 --> 00:39:56.679]  Oder wenn sie einschlafen acht Uhr und dann bis sechs Uhr...
[00:39:56.679 --> 00:39:58.679]  Schlafen und...
[00:39:58.679 --> 00:40:00.679]  Nisch auf gestanden.
[00:40:00.679 --> 00:40:01.679]  Nisch.
[00:40:01.679 --> 00:40:04.679]  Und da hat sie nicht so viele Parodin.
[00:40:04.679 --> 00:40:07.679]  Und da hat sie nicht so viele Parodin.
[00:40:07.679 --> 00:40:08.679]  Ja.
[00:40:08.679 --> 00:40:09.679]  Ja.
[00:40:09.679 --> 00:40:10.679]  Zwei, drei...
[00:40:10.679 --> 00:40:11.679]  Drei...
[00:40:11.679 --> 00:40:12.679]  Nach...
[00:40:12.679 --> 00:40:13.679]  Nach...
[00:40:13.679 --> 00:40:14.679]  Alle sind so.
[00:40:14.679 --> 00:40:17.679]  Schlafen und dann nicht so viele.
[00:40:17.679 --> 00:40:19.679]  Aber...
[00:40:19.679 --> 00:40:21.679]  Wir haben das leider gibt es...
[00:40:21.679 --> 00:40:24.679]  Das Kinder sterben und man weiß nicht, warum...
[00:40:24.679 --> 00:40:26.679]  Gibt's...
[00:40:26.679 --> 00:40:27.679]  Vielleicht...
[00:40:27.679 --> 00:40:29.679]  Keinag was falsch gemacht.
[00:40:29.679 --> 00:40:30.679]  Vielleicht...
[00:40:30.679 --> 00:40:31.679]  Ich...
[00:40:31.679 --> 00:40:32.679]  Ich...
[00:40:32.679 --> 00:40:33.679]  Ich...
[00:40:33.679 --> 00:40:34.679]  Ich...
[00:40:34.679 --> 00:40:35.679]  Ich...
[00:40:35.679 --> 00:40:36.679]  Ich...
[00:40:36.679 --> 00:40:37.679]  Ich...
[00:40:37.679 --> 00:40:38.679]  Ich...
[00:40:38.679 --> 00:40:39.679]  Ich...
[00:40:39.679 --> 00:40:40.679]  Ich...
[00:40:40.679 --> 00:40:41.679]  Ich...
[00:40:41.679 --> 00:40:42.679]  Ich...
[00:40:42.679 --> 00:40:43.679]  Ich...
[00:40:43.679 --> 00:40:44.679]  Ich...
[00:40:44.679 --> 00:40:45.679]  Ich...
[00:40:45.679 --> 00:40:46.679]  Ich...
[00:40:46.679 --> 00:40:47.679]  Ich...
[00:40:47.679 --> 00:40:49.679]  Da, damals, dann ist was cortär.
[00:40:49.679 --> 00:40:53.679]  Das ist ein multverfaltten Site...
[00:40:53.679 --> 00:40:55.679]  Also das ist eine einfache Verb 것으로.
[00:40:55.679 --> 00:40:59.419]  Jetzt repairs acordt Hernandez, функционär und
[00:41:20.239 --> 00:41:22.940]  an,
[00:41:25.679 --> 00:41:55.359]  Ich habe noch nicht geschadet, aber ich wollte nur wissen ob man bei ihm noch
[00:42:25.360 --> 00:42:32.300]  auch abnahmen
[00:42:35.300 --> 00:42:38.700]  seasons
[00:42:55.360 --> 00:42:59.360]  Ja, die schreiben, verschluckt.
[00:42:59.360 --> 00:43:01.360]  Verschluckt.
[00:43:01.360 --> 00:43:02.360]  Milch.
[00:43:02.360 --> 00:43:11.360]  Und dann, Sauerstoff, Magel, aber Kinder verschlucken sich nicht an Milch.
[00:43:11.360 --> 00:43:15.360]  Zum Beispiel drei oder ...
[00:43:15.360 --> 00:43:17.360]  Ah, nie gut, weiß ich.
[00:43:17.360 --> 00:43:19.360]  Aber gut, ich weiß es nicht.
[00:43:19.360 --> 00:43:21.360]  Wir wissen es nicht.
[00:43:21.360 --> 00:43:25.360]  Aber es hat nichts mit ihm zu tun.
[00:43:25.360 --> 00:43:28.360]  Zumindest ist keine genetische Krankheit.
